,Groceries,Food & Drink,Shopping,Schools,Entertainment,Fitness Facilities,Transportation,Libraries,Goods and Services,Crowded Housing,Health Ins,Poverty,Violent Crime,Property Crime,EduLessThanHS,Unemployment Rate,NTA_Name,NTA_Code,Location
92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.16699999999999998,0.84,0.359,0.068,0.10800000000000001,0.389,0.153,Concourse Village,BX14,"{'lat': 40.82361, 'lng': -73.92111}"
93,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.126,0.847,0.45299999999999996,0.065,0.153,0.409,0.233,East Tremont,BX17,"{'lat': 40.84538, 'lng': -73.89097}"
94,0.1,1.0,1.0,1.0,1.0,1.0,1.0,0.05,1.0,0.032,0.9470000000000001,0.085,0.015,0.055999999999999994,0.08,0.075,North Riverdale,BX22,"{'lat': 39.79228, 'lng': -84.21022}"
95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.032,0.9470000000000001,0.085,0.015,0.055999999999999994,0.08,0.075,Fieldston,BX22,"{'lat': 40.89444, 'lng': -73.90333}"
96,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.032,0.9470000000000001,0.085,0.015,0.055999999999999994,0.08,0.075,Riverdale,BX22,"{'lat': 40.99399, 'lng': -74.30348}"
97,0.1,1.0,1.0,0.45,0.8,1.0,0.05,0.0,1.0,0.14800000000000002,0.853,0.43,0.06,0.08900000000000001,0.359,0.184,Highbridge,BX26,"{'lat': 51.21667, 'lng': -2.98333}"
98,0.35,1.0,1.0,1.0,1.0,1.0,1.0,0.35,1.0,0.13,0.8270000000000001,0.42700000000000005,0.14400000000000002,0.217,0.414,0.183,Hunts Point,BX27,"{'lat': 47.64343, 'lng': -122.23012}"
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,0.053,0.92,0.115,0.035,0.092,0.129,0.081,Spuyten Duyvil,BX29,"{'lat': 40.88121, 'lng': -73.91736}"
101,0.0,1.0,0.4,0.05,0.2,0.95,0.0,0.0,1.0,0.053,0.92,0.115,0.035,0.092,0.129,0.081,Kingsbridge,BX29,"{'lat': 50.28451, 'lng': -3.77638}"
103,0.0,1.0,0.2,0.25,0.25,1.0,0.2,0.05,1.0,0.065,0.909,0.129,0.025,0.069,0.217,0.141,Allerton,BX31,"{'lat': 39.9117, 'lng': -87.93642}"
